T1,M1,SEAT1,VIP,800000.0,2026-07-02,SOLD
T2,M1,SEAT2,VIP,800000.0,2026-07-02,AVAILABLE
T3,M1,SEAT3,VIP,800000.0,2026-07-02,SOLD
T4,M1,SEAT4,VIP,800000.0,2026-07-02,SOLD
T5,M1,SEAT5,VIP,800000.0,2026-07-02,SOLD
T6,M1,SEAT6,VIP,800000.0,2026-07-02,SOLD
T7,M1,SEAT7,VIP,800000.0,2026-07-02,AVAILABLE
T8,M1,SEAT8,VIP,800000.0,2026-07-02,SOLD
T9,M1,SEAT9,VIP,800000.0,2026-07-02,SOLD
T10,M1,SEAT10,VIP,800000.0,2026-07-02,AVAILABLE
T11,M1,SEAT11,VIP,800000.0,2026-07-02,SOLD
T12,M1,SEAT12,VIP,800000.0,2026-07-02,AVAILABLE
T13,M1,SEAT13,VIP,800000.0,2026-07-02,AVAILABLE
T14,M1,SEAT14,VIP,800000.0,2026-07-02,SOLD
T15,M1,SEAT15,VIP,800000.0,2026-07-02,AVAILABLE
T16,M1,SEAT16,VIP,800000.0,2026-07-02,SOLD
T17,M1,SEAT17,VIP,800000.0,2026-07-02,SOLD
T18,M1,SEAT18,VIP,800000.0,2026-07-02,AVAILABLE
T19,M1,SEAT19,VIP,800000.0,2026-07-02,SOLD
T20,M1,SEAT20,VIP,800000.0,2026-07-02,SOLD
T21,M1,SEAT21,VIP,800000.0,2026-07-02,SOLD
T22,M1,SEAT22,VIP,800000.0,2026-07-02,AVAILABLE
T23,M1,SEAT23,VIP,800000.0,2026-07-02,SOLD
T24,M1,SEAT24,VIP,800000.0,2026-07-02,SOLD
T25,M1,SEAT25,VIP,800000.0,2026-07-02,SOLD
T26,M1,SEAT26,VIP,800000.0,2026-07-02,AVAILABLE
T27,M1,SEAT27,VIP,800000.0,2026-07-02,SOLD
T28,M1,SEAT28,VIP,800000.0,2026-07-02,SOLD
T29,M1,SEAT29,VIP,800000.0,2026-07-02,AVAILABLE
T30,M1,SEAT30,VIP,800000.0,2026-07-02,AVAILABLE
T31,M1,SEAT31,VIP,800000.0,2026-07-02,SOLD
